TCM_name;TCM_name_en;Herb_pinyin_name;Herb_latin_name;Properties;Meridian_1;Meridian_2;Meridian_3;Meridian_4;Meridian_5;Meridian_6;UsePart;Function;Indication;Toxicity;Clinical_manifestations;Therapeutic_en_class;Therapeutic_cn_class
松节油;Turpentine Oil;SONG JIE YOU;Oleum Terebinthinae;;;;;;;;;Treatment of myalgia, arthralgia;Treatment of myalgia, arthralgia;;;;
棕榈;Fortune Windmillpalm Petiole;ZONG LV;Petiolus Trachycarpi;;;;;;;;Trachycarpus fortunei H. Wendl.;Treatment of spitting of blood, epistaxis, hematuria, hematochezia, abnormal uterine bleeding.;Treatment of spitting of blood, epistaxis, hematuria, hematochezia, abnormal uterine bleeding.;;;Bleeding control;止血
芝麻油;oil of Oriental Sesame;ZHI MA YOU;Oleum Sesami;"Mild; Sweet";Lung; Spleen; Liver; Kidney;;;Sesamum indicum DC;Treatment of dizziness, blurred vision, tinnitus, impaired hearing, premature greying of the hair and beard, loss of hair after a serious disease, constipation.;Treatment of dizziness, blurred vision, tinnitus, impaired hearing, premature greying of the hair and beard, loss of hair after a serious disease, constipation.;;;Purging;泻下
;Chachi Citrus Equivalent plant: Citrus unshiu, Citrus tankan, Citrus cultivars, Citrus decumana;GAN;Citrus chachiensis;;;;;;;;fruit;To engender liquid and allay thirst, arouse liquor, disinhibit urine.;Heat vexation in chest, drunkenness, inhibited urination.;;;;
煅自然铜;Calcined Pyrite;DUAN ZHI RAN TONG;Pyritum Preparata;"Mild; Pungent";Liver;;;;;;;Treatment of traumatic swelling and pain, bone fracture.;Treatment of traumatic swelling and pain, bone fracture.;;;Blood activation and stasis removal;活血化淤
紫锥花;Echinacea;ZI ZHUI HUA;Echinacea purpurea;;;;;;;;root of Echinacea purpurea;Used as a general nonspecific stimulant to the immune system, supporting and stabilizing cellular immunity and cleansing the blood, for the prevention and treatment of infections. There are no known side effects associated with it's use.;Used as a general nonspecific stimulant to the immune system, supporting and stabilizing cellular immunity and cleansing the blood, for the prevention and treatment of infections. There are no known side effects associated with it's use.;;;;
蛤蟆油;Forest Frog's Oviduct;HA MA YOU;Oviductus Ranae;;;;;;;;Rana chensinensis David;Treatment of listlessness, cardiac papitation, insomnia and night sweating in debility or in convalescence, hemoptysis in phthisis.;Treatment of listlessness, cardiac papitation, insomnia and night sweating in debility or in convalescence, hemoptysis in phthisis.;;;For tonifying weakness;补虚
制龟板;Prepared Tortoise plastron;ZHI GUI BAN;Plastrum Testudinis Praparata;"Cold; Sweet; Salty";Liver; Heart; Kidney;;;;;Treatment of hyperactivity of liver yang due to deficient yin of the liver and kidneys manifested as dizziness, distension and pain in the head and blurred vision. Tortoise plastron (Guiban) is used with White peony root (Baishao), Cyathula root (Niuxi), Sea-ear sh;Treatment of hyperactivity of liver yang due to deficient yin of the liver and kidneys manifested as dizziness, distension and pain in the head and blurred vision. Tortoise plastron (Guiban) is used with White peony root (Baishao), Cyathula root (Niuxi), ;;;For tonifying weakness;补虚
;True Indigo;MU LAN;Indigofera tinctoria;;;;;;;;stem-leaf;To clear heat and resolve toxin, cool blood and stanch bleeding.;Encephalitis B, parotitis, acute pharyngolaryngitis, red eyes, lymphrnoditis, mouth sore, swollen welling abscess, sore and boil, erysipelas, scab and lichen, snake or insect bites, blood ejection.;;;;
龟板胶;Gelatin of Tortoise plastron;GUI BAN JIAO;Colla carapacis et plastri testudinis;"Cold; Sweet; Salty";Liver; Heart; Kidney;;;;;Treatment of hyperactivity of liver yang due to deficient yin of the liver and kidneys manifested as dizziness, distension and pain in the head and blurred vision. Tortoise plastron (Guiban) is used with White peony root (Baishao), Cyathula root (Niuxi), Sea-ear sh;Treatment of hyperactivity of liver yang due to deficient yin of the liver and kidneys manifested as dizziness, distension and pain in the head and blurred vision. Tortoise plastron (Guiban) is used with White peony root (Baishao), Cyathula root (Niuxi), ;;;For tonifying weakness;补虚
母丁香;Clove fruit;MU DING XIANG;Fructus Caryophylli;"Warm; Pungent";Spleen; Stomach; Kidney;;;;Eugenia caryophyllata Thunb;To warm the spleen and stomach, to regulate the adverse flow of the stomach qi, and to restore the kidney yang.;;;;For warming interior;温里
小叶莲;Common Sinopodophyllum Fruit;XIAO YE LIAN;Fructus Podophylli;"Mild; Sweet";;;;;;;Podophyllum ernodi Wall.;Treatment of amenorrhea due to blood stasis, difficult labour, missed labour, retention of placenta.;Treatment of amenorrhea due to blood stasis, difficult labour, missed labour, retention of placenta.;Toxic;;;
;Gl obe Artichoke;CAI JI;Cynara scolymus;;;;;;;;leaf;To course liver and disinhibit gallbladder, clear damp heat.;Jaundice, distending pain in chest and rib-side, damp-heat diarrhea dysentery.;;;;
大芭蕉;Big Anisetree;DA BA JIAO;Illicium majus;;;;;;;;bark;See Illicium difengpi .;See Illicium difengpi .;;;;
制地龙;Prepared Earthworm;ZHI DI LONG;Pheretima Preparata;"Cold; Salty";Bladder; Spleen; Liver;;;;;Treatment of high fever with impaired consciousness, convulsions, arthralgia, numbness of the limbs, hemiplegia, cough and asthma due to heat in the lung, edema ano oliguria, hypertension.;1. Relaxing bronchial spasm in rats or rabbits.2. Intravenous injection of alcoholic infusion (0.1g/kg) lowers blood pressure in anesthetized dogs.3. Sedative and anticonvulsive.4. Lumbrifebrine, one of its active components, is ab antipyretic.;;1. Relaxing bronchial spasm in rats or rabbits.2. Intravenous injection of alcoholic infusion (0.1g/kg) lowers blood pressure in anesthetized dogs.3. Sedative and anticonvulsive.4. Lumbrifebrine, one of its active components, is ab antipyretic.;For calming liver and containing wind;平肝息风
过路黄;all-grass of Heavyspike Loosestrife;GUO LU HUANG;Herba Lysimachiae;"Minor Warm; Pungent; Sweet";Bladder; Liver; Kidney; Gallbladder;;;Lysimachia phyllocephala Hand. -Mazz;For promoting diuresis and reducing yellowness;;;;For promoting diuresis and penetrating dampness;利水渗湿
霍香叶;leaf of wrinkled gianthyssop;HUO XIANG YE;Folium Agastachis;"Minor Warm; Pungent";Lung; Spleen; Stomach;;;;Foeniculum vugare Mill;1. Treatment of dampness blocking the spleen and stomach manifested as epigastric and abdominal distension, nausea, vomiting and poor appetite. Agastache (Huoxiang) is used with Atractylodes rhizome (Cangzhu), Magnolia bark (Houpo) and Pinellia tuber (Banxia) in the formula Buhuanjin Zhenqi San. 2. Treatment of internal injury caused by raw and cold food and invasion by exogenous wind and cold in summer manifested as chills, fever, headache, epigastric fullness, nausea, vomiting and diarrhea. Agastache (Huoxiang) is used with Perilla leaf (Zisuye), Pinellia tuber (Banxia), Magnolia bark (Houpo) and Tangerine peel (Chenpi) in the formula Huoxiang Zhengqi San. 3. Treatment of vomiting;1. Treatment of dampness blocking the spleen and stomach manifested as epigastric and abdominal distension, nausea, vomiting and poor appetite. Agastache (Huoxiang) is used with Atractylodes rhizome (Cangzhu), Magnolia bark (Houpo) and Pinellia tuber (Ban;;;For desolving dampness by flavors;芳香化湿
;Siberian Knotweed;XI BO LI YA LIAO[YN;Polygonum sibiricum [Syn. Persicaria sibirica ];;;;;;;;rhizome;To course wind and clear heat, disinhibit water and disperse edema.;Red eyes with gall, damp itchy skin, edema, ascites (hydroperitoneum).;;;;
密叶泥炭藓;NI TAN XIAN;SPHAGNUM CYMBIFOLIUM ] (SPHAGNACEAE);Sphagnum palustre [Syn. Sphagnum obtusifolium;;;;;;;;plant body;To clear heat and brighten eyes, relieve itch.;Eye screen, skin diseases, insect bites with itching.;;;;
炙百合;Prepared Bulb of Greenish Lily;ZHI BAI HE;Bulbus Lilii Preparata;"Minor cold; Sweet";Heart;;;;;;"Lilium brownii var. viridulum Baker.; Lilium pumilum DC.;Lilium lancifolium Thunb.";1. To moisurize the lung and relieve cough (lung-dryness with cough and hemoptysis). 2. To relieve cardiac heat and tranquilize the mind (convalescence of febrile diseases or yin-deficiency with heat manifested as irritability, insomnia, dreaminess, palpitation and absent-mindedness).;1. To moisurize the lung and relieve cough (lung-dryness with cough and hemoptysis). 2. To relieve cardiac heat and tranquilize the mind (convalescence of febrile diseases or yin-deficiency with heat manifested as irritability, insomnia, dreaminess, palpi;;;For tonifying weakness;补虚
饴糖;moltose;YI TANG;Saccharum granorum;"Warm; Sweet";Lung; Spleen; Stomach;;;;;For tonifying qi;;;;For tonifying weakness;补虚
;Japanese Os munda Frond;ZI QI;Osmunda japonica;;;;;;;;rhizome;To clear heat and resolve toxin, dispel stasis and stanch bleeding, kill worms.;Influenza, epidemic encephalitis, parotitis, swelling toxin of welling abscess and sore, measles papules, varicella, dysentery, blood ejection, spontaneous external bleeding, hematochezia, flooding and spotting, vaginal discharge, intestinal parasitic disease.;;;;
莪术;Zedoray Rhizome;E ZHU;Rhizoma Curcumae;"Warm; Pungent; Bitter";Spleen; Liver;;;;;;To promote the flow of qi and eliminate blood stasis with strong effect, and to relieve pain by removing the stagnation of undigested food.;1. Its volatile oil and its components curcumenol, curdione and B-elemene destroy directly the Ehrlich-Ascites tumor and leukemia615 in mice. 2. Promoting phagocytosis of monocytes. 3. Dilating peripheral blood vessels, inhibiting aggregation of thrombocytes and thrombosis, and improving microcirculation.;;1. Its volatile oil and its components curcumenol, curdione and B-elemene destroy directly the Ehrlich-Ascites tumor and leukemia615 in mice. 2. Promoting phagocytosis of monocytes. 3. Dilating peripheral blood vessels, inhibiting aggregation of thrombocy;Blood Activating Stasis Removing Drugs;活血祛瘀药
龙树杜鹃;Przewallsk Rhododendron;LONG SHU DU JUAN;Rhododendron przewalskii;;;;;;;;leaf;To clear lung, relieve cough and transform phlegm.;Cough and asthma, abundant and sticky phlegm.;;;;
;Chachi Citrus Pericarp Equivalent plant: Citrus tankan;GAN PI;Citrus chachiensis;;;;;;;;pericarp;To precipitate qi and regulate center, transform phlegm, arouse liquor.;Dietary imbalance after illness, qi ascent with vexation and fullness, liquor damage with thirst.;;;;
